Estado,Ano,Emissao,Emissao_sem_outlier
DF,2019,55122941.37438577,55122941.37438577
DF,2020,49383803.942179695,49383803.942179695
DF,2021,56687377.47433015,56687377.47433015
ES,1970,19915884.617730916,19915884.617730916
ES,1971,22267091.82185482,22267091.82185482
ES,1972,23496451.718616873,23496451.718616873
ES,1973,24471407.22976606,24471407.22976606
ES,1974,25542831.958791737,25542831.958791737
ES,1975,29993036.692615196,29993036.692615196
ES,1976,32771855.173646186,32771855.173646186
ES,1977,33526689.272177383,33526689.272177383
ES,1978,33091645.41379109,33091645.41379109
ES,1979,30939095.479007997,30939095.479007997
ES,1980,37529569.9614305,37529569.9614305
ES,1981,39805595.226245314,39805595.226245314
ES,1982,52067701.71432108,52067701.71432108
ES,1983,52092000.26592499,52092000.26592499
ES,1984,94124848.60516444,94124848.60516444
ES,1985,101035893.52569783,101035893.52569783
ES,1986,104290536.83457547,104290536.83457547
ES,1987,102744267.13667344,102744267.13667344
ES,1988,104130181.16206536,104130181.16206536
ES,1989,104911611.37201466,104911611.37201466
ES,1990,165226292.52583635,165226292.52583635
ES,1991,177365761.47086594,177365761.47086594
ES,1992,154220169.7180647,154220169.7180647
ES,1993,150791494.7311379,150791494.7311379
ES,1994,174561585.4856131,174561585.4856131
ES,1995,178731577.8666122,178731577.8666122
ES,1996,147890770.3692573,147890770.3692573
ES,1997,156925474.97484493,156925474.97484493
ES,1998,167127942.85554662,167127942.85554662
ES,1999,145760998.6139886,145760998.6139886
ES,2000,180710477.8480779,180710477.8480779
ES,2001,149493181.87766165,149493181.87766165
ES,2002,164314071.01643407,164314071.01643407
ES,2003,173977133.305486,173977133.305486
ES,2004,146779706.87050182,146779706.87050182
ES,2005,140633722.33994332,140633722.33994332
ES,2006,148169019.73064038,148169019.73064038
ES,2007,186523490.89211613,186523490.89211613
ES,2008,177727132.01635683,177727132.01635683
ES,2009,182121818.71661738,182121818.71661738
ES,2010,222738909.90993434,222738909.90993434
ES,2011,237581187.19888064,237581187.19888064
ES,2012,240691764.20723096,240691764.20723096
ES,2013,258775035.00314754,258775035.00314754
ES,2014,270896202.76732546,270896202.76732546
ES,2015,272689473.3837346,272689473.3837346
ES,2016,248267538.4422328,248267538.4422328
ES,2017,251582210.41666007,251582210.41666007
ES,2018,244548538.36010006,244548538.36010006
ES,2019,232893577.39658678,232893577.39658678
ES,2020,227113778.18489265,227113778.18489265
ES,2021,269754653.36977243,269754653.36977243
GO,1970,103513772.80179308,103513772.80179308
GO,1971,112734751.27027223,112734751.27027223
GO,1972,122212793.00303687,122212793.00303687
GO,1973,131537685.35657988,131537685.35657988
GO,1974,141324395.17719868,141324395.17719868
GO,1975,162145473.59474257,162145473.59474257
GO,1976,173859986.89276275,173859986.89276275
GO,1977,176340168.90796712,176340168.90796712
GO,1978,181803776.44560108,181803776.44560108
GO,1979,192952960.951612,192952960.951612
GO,1980,228412001.60928506,228412001.60928506
GO,1981,232322421.08211476,232322421.08211476
GO,1982,238804650.14564788,238804650.14564788
GO,1983,253239472.7283009,253239472.7283009
GO,1984,268047878.3552126,268047878.3552126
GO,1985,266816371.52016148,266816371.52016148
GO,1986,267726636.34901085,267726636.34901085
GO,1987,280469551.93153965,280469551.93153965
GO,1988,290527984.30036974,290527984.30036974
GO,1989,246052418.1334518,246052418.1334518
GO,1990,709177541.3133316,709177541.3133316
GO,1991,680833493.7769163,680833493.7769163
GO,1992,712897756.5754093,712897756.5754093
GO,1993,648175005.3022555,648175005.3022555
GO,1994,636161801.5518624,636161801.5518624
GO,1995,672566382.837884,672566382.837884
GO,1996,565823272.8253254,565823272.8253254
GO,1997,563051436.2811987,563051436.2811987
GO,1998,527659247.1796533,527659247.1796533
GO,1999,547793695.0111543,547793695.0111543
GO,2000,574428886.7945415,574428886.7945415
GO,2001,543667612.681585,543667612.681585
GO,2002,553554978.6280973,553554978.6280973
GO,2003,599010640.9858677,599010640.9858677
GO,2004,628404928.1174489,628404928.1174489
GO,2005,557410145.2025727,557410145.2025727
GO,2006,505811722.41989356,505811722.41989356
GO,2007,485528312.1120536,485528312.1120536
GO,2008,493566126.8597289,493566126.8597289
GO,2009,485733919.5425404,485733919.5425404
GO,2010,507570530.1715695,507570530.1715695
GO,2011,499792668.601105,499792668.601105
GO,2012,534740712.3671332,534740712.3671332
GO,2013,561157320.0014675,561157320.0014675
GO,2014,567413709.5081823,567413709.5081823
GO,2015,573534816.3605753,573534816.3605753
GO,2016,527782660.8023264,527782660.8023264
GO,2017,536948463.0953565,536948463.0953565
GO,2018,530228106.1483051,530228106.1483051
GO,2019,545216409.9866893,545216409.9866893
GO,2020,543921335.8371228,543921335.8371228
GO,2021,600808135.236309,600808135.236309
MA,1970,28085144.46187756,28085144.46187756
MA,1971,29210491.07539335,29210491.07539335
MA,1972,30361373.46608274,30361373.46608274
MA,1973,31530060.86170525,31530060.86170525
MA,1974,32984485.17750018,32984485.17750018
MA,1975,34752811.89778294,34752811.89778294
MA,1976,35963341.36631282,35963341.36631282
MA,1977,36909222.098731644,36909222.098731644
MA,1978,38748502.957308725,38748502.957308725
MA,1979,41434809.34514402,41434809.34514402
MA,1980,52773576.76416101,52773576.76416101
MA,1981,53250137.84304475,53250137.84304475
MA,1982,57577331.7373,57577331.7373
MA,1983,55610909.3594337,55610909.3594337
MA,1984,59960998.808123335,59960998.808123335
MA,1985,62297620.98891686,62297620.98891686
MA,1986,71138146.53242768,71138146.53242768
MA,1987,75352919.62556848,75352919.62556848
MA,1988,78935815.29263999,78935815.29263999
MA,1989,82313636.5081759,82313636.5081759
MA,1990,1185780808.7509842,1185780808.7509842
MA,1991,949180814.3757999,949180814.3757999
MA,1992,1176423857.8717906,1176423857.8717906
MA,1993,933879345.1167198,933879345.1167198
MA,1994,910732486.1846337,910732486.1846337
MA,1995,860559493.3702787,860559493.3702787
MA,1996,821957411.1927421,821957411.1927421
MA,1997,872475601.9486828,872475601.9486828
MA,1998,1045626099.2738897,1045626099.2738897
MA,1999,741623436.1255025,741623436.1255025
MA,2000,1089492520.2880988,1089492520.2880988
MA,2001,826046723.2393901,826046723.2393901
MA,2002,850072231.4514486,850072231.4514486
MA,2003,1088894094.455242,1088894094.455242
MA,2004,930330108.18747,930330108.18747
MA,2005,890315148.5377003,890315148.5377003
MA,2006,876906781.7534083,876906781.7534083
MA,2007,876704034.3690292,876704034.3690292
MA,2008,841156756.4983187,841156756.4983187
MA,2009,647913150.2697662,647913150.2697662
MA,2010,610058632.6823156,610058632.6823156
MA,2011,605573573.1635611,605573573.1635611
MA,2012,790084731.5168806,790084731.5168806
MA,2013,840475976.128005,840475976.128005
MA,2014,723732966.4666145,723732966.4666145
MA,2015,793812220.2087831,793812220.2087831
MA,2016,811519303.7527899,811519303.7527899
MA,2017,666802026.3863238,666802026.3863238
MA,2018,640017911.3858116,640017911.3858116
MA,2019,669341573.2962253,669341573.2962253
MA,2020,658202474.0077186,658202474.0077186
MA,2021,947632428.3736011,947632428.3736011
MG,1970,198566735.6719666,141610729.55661523
MG,1971,214397619.54837915,150865845.52801445
MG,1972,223978988.9908904,158679332.2687447
MG,1973,233293432.66526768,164324776.97939885
MG,1974,242010019.82027274,174251559.01667124
MG,1975,283484703.2992359,191422289.24093705
MG,1976,296790593.66926146,203563949.02740884
MG,1977,295717043.8505806,189955160.65964255
MG,1978,325294450.991419,190488496.13887602
MG,1979,336921439.57309574,203749775.14151287
MG,1980,406416012.32960594,335134011.08623016
MG,1981,392784136.9661764,336510918.937083
MG,1982,434303719.4808058,400846410.45982885
MG,1983,416968571.6186804,400520659.52061677
MG,1984,423801332.96714455,412028138.43946594
